dist,trial,policy,spearman_vs_true,spearman_vs_empirical
1-6-14,10,labelfree_full|mlp8|seed0,0.8984017279667509,0.8653664590682493
1-6-14,10,labelfree_full|mlp8|seed1,0.9298882757770587,0.9067686212459741
1-6-14,10,labelfree_full|mlp8|seed2,0.9392909566101587,0.945027246902354
1-6-14,11,empirical_gittins,0.9396402049898434,1.0
1-6-14,11,fcfs,,
1-6-14,11,mean_excess,0.7953367304086725,0.6989836785568357
1-6-14,11,imitation_tail_only,0.6886991148430598,0.6198799180711507
1-6-14,11,imitation_no_hazard,0.9832547594104873,0.9326911921649105
1-6-14,11,imitation_full,0.9446933386514909,0.9902244990577148
1-6-14,11,labelfree_tail_only|linear|seed0,0.7915584045107217,0.6958056466214732
1-6-14,11,labelfree_tail_only|linear|seed1,0.7915591445913538,0.6958070082417032
1-6-14,11,labelfree_tail_only|linear|seed2,0.7915584045107217,0.6958056466214732
1-6-14,11,labelfree_no_hazard|linear|seed0,0.9380400682345371,0.8712944000028067
1-6-14,11,labelfree_no_hazard|linear|seed1,0.963415962556303,0.8945652426300323
1-6-14,11,labelfree_no_hazard|linear|seed2,0.9268286988736602,0.8593567326381548
1-6-14,11,labelfree_full|linear|seed0,0.9534145641563277,0.9069835923721042
1-6-14,11,labelfree_full|linear|seed1,0.9459225260783269,0.9014345638276664
1-6-14,11,labelfree_full|linear|seed2,0.9558583424413445,0.8985925468320669
1-6-14,11,labelfree_tail_only|mlp8|seed0,0.7822760312885845,0.6885581041677763
1-6-14,11,labelfree_tail_only|mlp8|seed1,0.7854298256313643,0.6906822141056664
1-6-14,11,labelfree_tail_only|mlp8|seed2,0.7839420841475395,0.689639600670747
1-6-14,11,labelfree_no_hazard|mlp8|seed0,0.9549778835713607,0.9098753709804402
1-6-14,11,labelfree_no_hazard|mlp8|seed1,0.9395696002454788,0.888826034185206
1-6-14,11,labelfree_no_hazard|mlp8|seed2,0.9548238186474125,0.8914489232343265
1-6-14,11,labelfree_full|mlp8|seed0,0.9059731818102714,0.8633785791459261
1-6-14,11,labelfree_full|mlp8|seed1,0.9281223277802895,0.900704929215011
1-6-14,11,labelfree_full|mlp8|seed2,0.9387549797174335,0.9376205505464708
1-6-14,12,empirical_gittins,0.929294297195309,1.0
1-6-14,12,fcfs,,
1-6-14,12,mean_excess,0.8025982525630675,0.6821173018059172
1-6-14,12,imitation_tail_only,0.682353822636719,0.5862790374043689
1-6-14,12,imitation_no_hazard,0.9859341137650601,0.9341629461650218
1-6-14,12,imitation_full,0.9318814132960876,0.9904101154532452
1-6-14,12,labelfree_tail_only|linear|seed0,0.795955604337248,0.6775233642041821
1-6-14,12,labelfree_tail_only|linear|seed1,0.7959525799262073,0.6775200400166889
1-6-14,12,labelfree_tail_only|linear|seed2,0.795955604337248,0.6775233642041821
1-6-14,12,labelfree_no_hazard|linear|seed0,0.9097021314190402,0.8517177070203006
1-6-14,12,labelfree_no_hazard|linear|seed1,0.9164766855780515,0.8483993868179769
1-6-14,12,labelfree_no_hazard|linear|seed2,0.9008626073283706,0.8430992346626208
1-6-14,12,labelfree_full|linear|seed0,0.8781715737857935,0.8266657440658519
1-6-14,12,labelfree_full|linear|seed1,0.8480956612685217,0.7903669739614313
1-6-14,12,labelfree_full|linear|seed2,0.9150729758074897,0.8600641822329976
1-6-14,12,labelfree_tail_only|mlp8|seed0,0.7865800933225329,0.6692862057965273
1-6-14,12,labelfree_tail_only|mlp8|seed1,0.7896588405056921,0.6719421283472489
1-6-14,12,labelfree_tail_only|mlp8|seed2,0.7881927739079345,0.6705446805614784
1-6-14,12,labelfree_no_hazard|mlp8|seed0,0.846274003206582,0.8017031761074311
1-6-14,12,labelfree_no_hazard|mlp8|seed1,0.8366763845079248,0.7956815370358147
1-6-14,12,labelfree_no_hazard|mlp8|seed2,0.9002878126807174,0.8335112053988656
1-6-14,12,labelfree_full|mlp8|seed0,0.8492786856277343,0.7642879136811233
1-6-14,12,labelfree_full|mlp8|seed1,0.8697936487647936,0.8499938410100312
1-6-14,12,labelfree_full|mlp8|seed2,0.8042433233011932,0.8071701538445464
1-6-14,13,empirical_gittins,0.9479947032443959,0.9999999999999999
1-6-14,13,fcfs,,
1-6-14,13,mean_excess,0.783564387934794,0.6801220621099313
1-6-14,13,imitation_tail_only,0.6753981771735126,0.5885947621487447
1-6-14,13,imitation_no_hazard,0.9802891445166085,0.9289832067838616
1-6-14,13,imitation_full,0.9491179350422,0.9881297128082744
1-6-14,13,labelfree_tail_only|linear|seed0,0.778840578776239,0.6759564282397516
1-6-14,13,labelfree_tail_only|linear|seed1,0.778840578776239,0.6759564282397516
1-6-14,13,labelfree_tail_only|linear|seed2,0.778840578776239,0.6759564282397516
1-6-14,13,labelfree_no_hazard|linear|seed0,0.9041979501037889,0.8493610355662696
1-6-14,13,labelfree_no_hazard|linear|seed1,0.9092661982148181,0.8464494820311887
1-6-14,13,labelfree_no_hazard|linear|seed2,0.8938766789878689,0.8393645183076192
1-6-14,13,labelfree_full|linear|seed0,0.8700153732711693,0.8223246634944796
1-6-14,13,labelfree_full|linear|seed1,0.8419390564845578,0.7909232006625635
1-6-14,13,labelfree_full|linear|seed2,0.9115708508941662,0.857384574866616
1-6-14,13,labelfree_tail_only|mlp8|seed0,0.7704698598563401,0.6683856624189524
1-6-14,13,labelfree_tail_only|mlp8|seed1,0.7731194088195603,0.6706602118782959
1-6-14,13,labelfree_tail_only|mlp8|seed2,0.7719832547065746,0.6696015570546423
1-6-14,13,labelfree_no_hazard|mlp8|seed0,0.8404958204845833,0.7996826293608004
1-6-14,13,labelfree_no_hazard|mlp8|seed1,0.8275571224211913,0.7922182106335367
1-6-14,13,labelfree_no_hazard|mlp8|seed2,0.8924998844335411,0.8309519541301187
1-6-14,13,labelfree_full|mlp8|seed0,0.8365707804555839,0.7686707441298442
1-6-14,13,labelfree_full|mlp8|seed1,0.870193552552312,0.848439639926088
