gen,best,pop_mean,sigma,seed,val,val_ratio
134,28.100904752628146,29.998543589626717,1.2932390549108688,1,,
135,26.62890028587081,26.949547788378204,1.2908836821247276,1,27.186886694440368,1.0067705232470388
136,26.605898286812245,26.91591080144766,1.3042982452264749,1,,
137,25.277845689125208,25.83387637361728,1.3456097352374317,1,,
138,26.140121011076637,26.57116241860686,1.3671016323266567,1,,
139,27.23309262099606,27.719186138273876,1.3733258162215358,1,,
140,26.094739757190045,27.292532951105894,1.3761519237789075,1,27.18630954517991,1.0067491505584527
141,27.642694274579192,28.20055710395176,1.3800304223836757,1,,
142,26.02769106305662,27.19054774586813,1.39663697803565,1,,
143,26.173114982696934,26.869041245394143,1.4142804150273547,1,,
144,26.74446975665458,27.70939949063707,1.4034744856539791,1,,
145,25.87639596173569,26.71287140608952,1.4115477930495304,1,27.18739232388254,1.00678924745124
146,26.86490342562768,27.873652149600147,1.4417990371852973,1,,
147,25.037341107525734,25.40038208795736,1.4765519600274228,1,,
148,25.99798673781568,26.74921781595422,1.4647475337414204,1,,
149,28.63283258633772,30.186511653162846,1.4521304635550683,1,,
150,27.660577466067778,28.77170112344194,1.428330222654454,1,27.1864983822304,1.0067561434730248
1,26.586794593145232,33.88400174961315,0.9388854628418943,2,27.467855309112977,1.0171752055627885
2,29.455115143522843,40.29623384524196,0.9098245259616698,2,,
3,26.215929086011073,30.721701817886913,0.8956066599191729,2,,
4,26.821172751313707,29.634884091319243,0.8886949682776405,2,,
5,27.507678858497854,28.756740910220373,0.9046244974591913,2,27.37030876623279,1.0135629131690254
6,26.959899168544254,28.227475515363988,0.9148717186676899,2,,
7,27.71672338001646,27.866524569831082,0.9300505223079615,2,,
8,27.782771720826013,28.72633066490407,0.9381628377890245,2,,
9,25.91191926469559,26.004844575514717,0.9496251662208052,2,,
10,27.95741022099601,28.057507320200667,0.9808747035604903,2,27.272006780897833,1.0099226456266541
11,27.415271991019125,27.502365337863207,0.9931157809797372,2,,
12,26.81375591189139,27.222572581928997,0.9888107608938808,2,,
13,26.70117524961612,26.788707455677233,0.9917112656367955,2,,
14,28.751795649516964,29.200386823766376,0.9976980856744844,2,,
15,29.079505192571,29.17456773209026,1.0270924496591802,2,27.259503900159388,1.0094596455073461
16,26.554543586798957,27.255064021988186,1.0443899118252202,2,,
17,27.381073607184504,27.763188727892746,1.0538896901767147,2,,
18,26.562091851452173,27.54236460159712,1.0680032043435448,2,,
19,27.726098248871125,28.232585982307356,1.0963687561595985,2,,
20,26.757270284750508,27.2584232933065,1.1009819643154009,2,27.248930301201455,1.0090680895386497
21,27.78318132221277,29.252145461507826,1.0675619401172012,2,,
22,27.214864264409066,28.85000727500725,1.0411784340149135,2,,
23,27.32350476565185,27.66867136643293,1.0126247169341245,2,,
24,27.134160800479215,27.914416824107064,1.0134603258036856,2,,
25,26.72136623841941,27.359465585901464,1.0304298800086016,2,27.23686636300906,1.008621344109396
26,27.48358877685106,28.307320600082193,1.065599302707807,2,,
27,25.706959010881242,26.386320605188097,1.1253411905117385,2,,
28,25.631334217655475,26.791597749174993,1.156758108034872,2,,
29,27.769764676702742,29.724492454142457,1.178509585311075,2,,
30,26.47750874672166,28.132987865419594,1.199079100824232,2,27.22754512230503,1.0082761648144523
31,26.272297381138703,27.048149837955087,1.2119990603510218,2,,
32,26.069856803689156,27.697647923342426,1.2299416331820778,2,,
33,29.20928144860379,30.669104010774866,1.2350550415476005,2,,
34,26.793628515349518,27.28853900269232,1.2399498647649345,2,,
35,26.24462880729782,27.986371835351267,1.259017782420752,2,27.2106192426211,1.0076493745189201
36,26.570210228382464,27.77970051528424,1.2758199768624214,2,,
37,27.14322391013283,29.626141717576665,1.2799955781294867,2,,
38,26.509399820206752,27.966512579730473,1.27838678474618,2,,
39,27.04788156105183,29.407303795159592,1.2498178338104904,2,,
40,26.6070430375429,27.612928053314356,1.2213327784446273,2,27.20375044152926,1.0073950126809121
41,27.81322566705366,28.430850019699207,1.201512277034957,2,,
42,26.487750388567395,27.6357108792872,1.184582063723759,2,,
