model,seed,policy,mrt,ratio,n_jobs,n_busy
one-way drift,34,kupd_200,27.334309645909645,1.0250688657199871,20475,4000
one-way drift,34,kupd_500,26.94095873015873,1.0103177422322556,20475,4000
one-way drift,34,kupd_2000,26.804421001221,1.0051974162850033,20475,4000
one-way drift,35,genie,26.804504279065114,1.0,19981,4000
one-way drift,35,fcfs,29.41401981882789,1.0973536205928218,19981,4000
one-way drift,35,static,29.849126169861364,1.113586203986401,19981,4000
one-way drift,35,kupd_50,30.083970772233624,1.122347589756765,19981,4000
one-way drift,35,kupd_200,27.554410690155645,1.027976880425885,19981,4000
one-way drift,35,kupd_500,27.127484109904408,1.0120494610710464,19981,4000
one-way drift,35,kupd_2000,26.881415845052803,1.0028693522994103,19981,4000
one-way drift,36,genie,25.148349127936285,1.0,19838,4000
one-way drift,36,fcfs,27.99285159794334,1.113108914447478,19838,4000
one-way drift,36,static,28.145325133582013,1.1191718784560896,19838,4000
one-way drift,36,kupd_50,28.143775582215948,1.119110262031163,19838,4000
one-way drift,36,kupd_200,25.949744933965118,1.0318667361404885,19838,4000
one-way drift,36,kupd_500,25.380499042242164,1.0092312188416372,19838,4000
one-way drift,36,kupd_2000,25.256404879524148,1.0042967333974153,19838,4000
one-way drift,37,genie,24.52218058094658,1.0,19692,4000
one-way drift,37,fcfs,27.09255738370912,1.1048184436240427,19692,4000
one-way drift,37,static,27.125083790371725,1.106144851222879,19692,4000
one-way drift,37,kupd_50,26.764973593337402,1.0914597706752656,19692,4000
one-way drift,37,kupd_200,25.04705921186269,1.0214042396916339,19692,4000
one-way drift,37,kupd_500,24.79661385334146,1.011191226305874,19692,4000
one-way drift,37,kupd_2000,24.595813020515944,1.0030026872743356,19692,4000
one-way drift,39,genie,24.93328907203907,1.0,19656,4000
one-way drift,39,fcfs,27.578261599511602,1.1060819741763908,19656,4000
one-way drift,39,static,27.578261599511602,1.1060819741763908,19656,4000
one-way drift,39,kupd_50,27.466596967846964,1.101603438218218,19656,4000
one-way drift,39,kupd_200,25.674592490842493,1.0297314733191274,19656,4000
one-way drift,39,kupd_500,25.169358465608465,1.0094680406137886,19656,4000
one-way drift,39,kupd_2000,24.976094831094834,1.0017168115659385,19656,4000
one-way drift,38,genie,26.555584508481505,1.0,19572,4000
one-way drift,38,fcfs,29.278174432863278,1.102524194996055,19572,4000
one-way drift,38,static,29.661160331085224,1.1169462423849807,19572,4000
one-way drift,38,kupd_50,29.977835683629674,1.1288712426591532,19572,4000
one-way drift,38,kupd_200,27.43838953607194,1.0332436677230161,19572,4000
one-way drift,38,kupd_500,26.842214898835074,1.0107936012578456,19572,4000
one-way drift,38,kupd_2000,26.653326180257512,1.0036806447150426,19572,4000
stationary,0,genie,13.712684842883549,1.0,19476,4000
stationary,0,fcfs,19.30089392072294,1.4075211486202497,19476,4000
stationary,0,static,13.906153727664819,1.0141087530996291,19476,4000
stationary,0,kupd_50,15.515970938591089,1.1315049617466697,19476,4000
stationary,0,kupd_200,14.315519100431302,1.043961796282411,19476,4000
stationary,0,kupd_500,13.971375025672623,1.0188650279469762,19476,4000
stationary,0,kupd_2000,13.773912507701786,1.0044650384311875,19476,4000
stationary,1,genie,12.59741434968239,1.0,19206,4000
stationary,1,fcfs,17.800997084244507,1.4130675224391036,19206,4000
stationary,1,static,12.77219410600854,1.0138742563731387,19206,4000
stationary,1,kupd_50,14.156348016244923,1.1237502890108426,19206,4000
stationary,1,kupd_200,12.888220347807978,1.0230845783153049,19206,4000
stationary,1,kupd_500,12.710727897532022,1.0089949845820931,19206,4000
stationary,1,kupd_2000,12.647616369884409,1.0039851051024042,19206,4000
stationary,6,genie,12.94074592561638,1.0,19144,4000
stationary,6,fcfs,18.234421750940243,1.4090703778400409,19144,4000
stationary,6,static,13.564299519431673,1.0481852898897397,19144,4000
stationary,6,kupd_50,14.78903468449645,1.1428270649546837,19144,4000
stationary,6,kupd_200,13.29689928959465,1.0275218573972047,19144,4000
stationary,6,kupd_500,13.110676974508984,1.0131314724722493,19144,4000
stationary,6,kupd_2000,12.982687526117845,1.0032410496846584,19144,4000
stationary,5,genie,13.22985446418838,1.0,18346,4000
stationary,5,fcfs,18.7704595007086,1.4187956149871468,18346,4000
stationary,5,static,13.565892292597841,1.0253999640977969,18346,4000
stationary,5,kupd_50,14.94088411642865,1.129330950455413,18346,4000
stationary,5,kupd_200,13.629385152076747,1.0301991748261365,18346,4000
stationary,5,kupd_500,13.385559795050693,1.0117692398872404,18346,4000
stationary,5,kupd_2000,13.275387550419708,1.0034416921482077,18346,4000
stationary,2,genie,13.804831031442847,1.0,20418,4000
stationary,2,fcfs,19.276072583014987,1.3963280346648546,20418,4000
stationary,2,static,13.900161132334214,1.0069055608630222,20418,4000
stationary,2,kupd_50,15.579410324223723,1.1285477010721081,20418,4000
stationary,2,kupd_200,14.344119404447056,1.0390651918720257,20418,4000
stationary,2,kupd_500,13.944720344793808,1.0101333593314066,20418,4000
stationary,2,kupd_2000,13.870403565481439,1.004749970056804,20418,4000
stationary,3,genie,14.594590931253046,1.0,20510,4000
stationary,3,fcfs,20.58993027791321,1.4107918731604643,20510,4000
stationary,3,static,14.792755728912727,1.0135779617663232,20510,4000
stationary,3,kupd_50,16.488932228181376,1.1297974918140228,20510,4000
stationary,3,kupd_200,15.046073622623108,1.0309349329143067,20510,4000
stationary,3,kupd_500,14.736128230131643,1.0096979284685195,20510,4000
stationary,3,kupd_2000,14.664052169673328,1.0047593823456562,20510,4000
stationary,4,genie,15.27123006721947,1.0,20381,4000
stationary,4,fcfs,21.69629360679064,1.4207299288459363,20381,4000
stationary,4,static,15.745105735734262,1.031030615505688,20381,4000
stationary,4,kupd_50,17.72013149501987,1.1603604566901982,20381,4000
stationary,4,kupd_200,15.783243216721457,1.0335279572927822,20381,4000
stationary,4,kupd_500,15.475075315244592,1.0133483188405816,20381,4000
stationary,4,kupd_2000,15.306958932338944,1.002339619334016,20381,4000
stationary,7,genie,14.11038847793073,1.0,20413,4000
stationary,7,fcfs,20.030910204281582,1.419586018883237,20413,4000
stationary,7,static,14.517615245186892,1.0288600677361281,20413,4000
stationary,7,kupd_50,16.02994317346789,1.1360384016740168,20413,4000
stationary,7,kupd_200,14.569807965512172,1.0325589538728857,20413,4000
stationary,7,kupd_500,14.271916425807085,1.0114474486743572,20413,4000
stationary,7,kupd_2000,14.162230931269288,1.0036740627956233,20413,4000
stationary,10,genie,13.361579525483306,1.0,18208,4000
stationary,10,fcfs,18.652242970123027,1.3959609292112005,18208,4000
stationary,10,static,13.411738796133568,1.0037539925990484,18208,4000
stationary,10,kupd_50,15.032692772407733,1.125068540267808,18208,4000
stationary,10,kupd_200,13.758782403339191,1.029727239739758,18208,4000
stationary,10,kupd_500,13.51350944639719,1.0113706557390256,18208,4000
stationary,10,kupd_2000,13.403003624780316,1.0031002396998054,18208,4000
stationary,8,genie,14.525671850265388,1.0,21478,4000
stationary,8,fcfs,20.814797467175715,1.4329662463630157,21478,4000
stationary,8,static,14.936782754446412,1.0283023675888363,21478,4000
stationary,8,kupd_50,16.891943383927742,1.1629027254680218,21478,4000
stationary,8,kupd_200,15.16868935655089,1.0442676602441459,21478,4000
stationary,8,kupd_500,14.803029611695687,1.019094315518716,21478,4000
stationary,8,kupd_2000,14.596409814694109,1.0048698583554625,21478,4000
stationary,9,genie,14.360632610488524,1.0,20613,4000
stationary,9,fcfs,20.335154999272305,1.416034763288923,20613,4000
stationary,9,static,14.822046281472858,1.0321304557744435,20613,4000
stationary,9,kupd_50,16.783790811623735,1.1687361738761715,20613,4000
stationary,9,kupd_200,15.10667830980449,1.0519507545072269,20613,4000
stationary,9,kupd_500,14.718031339445982,1.024887394493779,20613,4000
stationary,9,kupd_2000,14.41185853587542,1.003567107854948,20613,4000
stationary,12,genie,12.915425316725223,1.0,18786,4000
stationary,12,fcfs,18.299761524539555,1.416891900636189,18786,4000
stationary,12,static,13.137745129351645,1.0172135107574445,18786,4000
stationary,12,kupd_50,14.435106462259132,1.117664041893065,18786,4000
stationary,12,kupd_200,13.335077717449163,1.0324923407811044,18786,4000
stationary,12,kupd_500,13.082673267326731,1.0129494729364372,18786,4000
stationary,12,kupd_2000,12.996184392632813,1.006252916487621,18786,4000
stationary,11,genie,15.762649190745707,1.0,20142,4000
stationary,11,fcfs,22.543881938238506,1.4302089493607508,20142,4000
stationary,11,static,15.844059676298281,1.0051647717694796,20142,4000
stationary,11,kupd_50,17.671238705193126,1.1210830420287445,20142,4000
stationary,11,kupd_200,16.293996623969818,1.0337092722672574,20142,4000
stationary,11,kupd_500,15.942212292721678,1.011391682946379,20142,4000
stationary,11,kupd_2000,15.804540760599739,1.002657647794295,20142,4000
stationary,13,genie,14.579409660107334,1.0,20683,4000
stationary,13,fcfs,20.800660445776725,1.4267148623096986,20683,4000
stationary,13,static,14.847151283662912,1.0183643665825635,20683,4000
stationary,13,kupd_50,16.820975680510564,1.1537487506463775,20683,4000
stationary,13,kupd_200,15.386374800560848,1.0553496444140367,20683,4000
stationary,13,kupd_500,14.871065609437702,1.0200046473848943,20683,4000
stationary,13,kupd_2000,14.64559203210366,1.004539441139199,20683,4000
stationary,14,genie,13.566722740480197,1.0,19617,4000
stationary,14,fcfs,19.176146199724727,1.4134693076985505,19617,4000
stationary,14,static,14.056123260437374,1.0360735993002135,19617,4000
stationary,14,kupd_50,15.459314370189121,1.1395024919365262,19617,4000
stationary,14,kupd_200,14.081001682214406,1.0379073820237892,19617,4000
stationary,14,kupd_500,13.827321200999133,1.0192086523402861,19617,4000
stationary,14,kupd_2000,13.753099862364277,1.0137378146107439,19617,4000
stationary,17,genie,12.664220385379206,1.0,18631,4000
stationary,17,fcfs,17.721035371155605,1.3992993513927214,18631,4000
stationary,17,static,12.722006870269981,1.0045629721476965,18631,4000
stationary,17,kupd_50,13.919651655842415,1.0991321401760032,18631,4000
stationary,17,kupd_200,12.927791315549353,1.0208122507465551,18631,4000
stationary,17,kupd_500,12.779496001288178,1.009102464455061,18631,4000
stationary,17,kupd_2000,12.659716064623478,0.9996443270395919,18631,4000
stationary,15,genie,14.715205951911708,1.0,20296,4000
stationary,15,fcfs,20.85026409144659,1.416919624474427,20296,4000
stationary,15,static,14.833789909341744,1.0080585999147793,20296,4000
stationary,15,kupd_50,16.67658701221916,1.1332894059870524,20296,4000
stationary,15,kupd_200,15.071486007094995,1.0242116934243113,20296,4000
stationary,15,kupd_500,14.921734331888057,1.014035031561996,20296,4000
stationary,15,kupd_2000,14.750049763500197,1.0023678779422018,20296,4000
stationary,18,genie,14.070915745517071,1.0,20355,4000
stationary,18,fcfs,19.91325865880619,1.4152070141668258,20355,4000
stationary,18,static,14.562142471137314,1.0349107858013253,20355,4000
