dist,rho,n,trial,ell,empirical,truncated,true_paired,true_gittins,fcfs,plcfs
1-6-14,0.98,10,93,14.67,588.7420396308169,588.7420396308169,236.08151946266904,246.59908642224494,279.7048335461678,352.8057550150208
1-6-14,0.98,10,94,14.38,1058.908679305559,1058.908679305559,243.02007400496825,246.59908642224494,279.7048335461678,352.8057550150208
1-6-14,0.98,10,95,14.870000000000001,412.59551861085004,412.59551861085004,233.30250819539057,246.59908642224494,279.7048335461678,352.8057550150208
1-6-14,0.98,10,80,14.18,1482.9015914207296,1482.9015914207296,244.406274365165,246.59908642224494,279.7048335461678,352.8057550150208
1-6-14,0.98,10,81,13.8,1731.627877432941,1731.627877432941,235.09896145958464,246.59908642224494,279.7048335461678,352.8057550150208
1-6-14,0.98,10,82,14.34,1094.983802810599,1094.983802810599,235.8573499204362,246.59908642224494,279.7048335461678,352.8057550150208
1-6-14,0.98,10,83,14.33,1184.0072484416696,1184.0072484416696,238.7199104767141,246.59908642224494,279.7048335461678,352.8057550150208
1-6-14,0.98,10,76,14.19,1564.3555441994881,1564.3555441994881,254.40709883056408,246.59908642224494,279.7048335461678,352.8057550150208
1-6-14,0.98,10,77,14.620000000000001,744.1152304712782,744.1152304712782,258.6029526979259,246.59908642224494,279.7048335461678,352.8057550150208
1-6-14,0.98,10,78,14.09,1676.5677300992052,1676.5677300992052,242.61285488135775,246.59908642224494,279.7048335461678,352.8057550150208
1-6-14,0.98,10,79,14.35,1359.4336568193658,1359.4336568193658,282.4691462089697,246.59908642224494,279.7048335461678,352.8057550150208
1-6-14,0.98,10,88,14.56,726.7594690851962,726.7594690851962,238.53020029666362,246.59908642224494,279.7048335461678,352.8057550150208
1-6-14,0.98,10,89,13.39,1742.6016730938227,1742.6016730938227,248.0684592849266,246.59908642224494,279.7048335461678,352.8057550150208
1-6-14,0.98,10,90,14.51,849.8328891189085,849.8328891189085,243.56136903027326,246.59908642224494,279.7048335461678,352.8057550150208
