dist,rho,n,trial,ell,empirical,truncated,true_gittins,fcfs,plcfs,true_paired
1-6-14,0.8,10,91,14.37,32.35519065767217,35.21862942507184,27.02858317223873,29.31315334077942,35.28057550150213,25.994650376016462
1-6-14,0.8,10,92,14.11,42.544169860029854,45.69010770037514,27.02858317223873,29.31315334077942,35.28057550150213,26.77143096284942
1-6-14,0.8,10,93,13.81,27.8280974501491,54.528144106132224,27.02858317223873,29.31315334077942,35.28057550150213,26.80647463334483
1-6-14,0.8,10,94,14.31,30.9558886401246,38.38938479509394,27.02858317223873,29.31315334077942,35.28057550150213,26.752499756643623
1-6-14,0.8,10,95,14.58,29.21728960569179,32.579397246037935,27.02858317223873,29.31315334077942,35.28057550150213,26.368971361192717
1-6-14,0.8,10,96,6.17,35.23074337863307,35.88470409681579,27.02858317223873,29.31315334077942,35.28057550150213,26.570660847138186
1-6-14,0.8,10,97,14.61,30.692940945289067,32.33047409246044,27.02858317223873,29.31315334077942,35.28057550150213,26.741632847243775
1-6-14,0.8,10,98,14.0,30.07551629053076,51.69047698204717,27.02858317223873,29.31315334077942,35.28057550150213,27.17779794266046
1-6-14,0.8,10,99,13.77,47.073878050259786,55.93949275215817,27.02858317223873,29.31315334077942,35.28057550150213,26.793632816448657
1-6-14,0.8,100,0,14.27,24.700580112252464,34.71824335486603,27.02858317223873,29.31315334077942,35.28057550150213,24.131573652440963
1-6-14,0.8,100,1,14.3,27.2263102520186,39.19832762417421,27.02858317223873,29.31315334077942,35.28057550150213,26.852454734524105
1-6-14,0.8,100,2,14.15,25.84729413977596,41.133644666443736,27.02858317223873,29.31315334077942,35.28057550150213,25.804026709580334
1-6-14,0.8,100,3,14.11,30.99471529804085,41.956554606085874,27.02858317223873,29.31315334077942,35.28057550150213,25.44064506044185
1-6-14,0.8,100,4,14.37,29.714951908596213,37.224855123391094,27.02858317223873,29.31315334077942,35.28057550150213,26.1885050500994
1-6-14,0.8,100,5,14.49,28.15244996219808,35.48346842545064,27.02858317223873,29.31315334077942,35.28057550150213,27.57306513867335
1-6-14,0.8,100,6,14.44,28.91865244889508,37.96794262696231,27.02858317223873,29.31315334077942,35.28057550150213,28.298492263675037
1-6-14,0.8,100,7,14.29,28.11097996611183,38.35791647563042,27.02858317223873,29.31315334077942,35.28057550150213,26.2686424798166
1-6-14,0.8,100,8,14.62,27.922819486220632,32.12659885375172,27.02858317223873,29.31315334077942,35.28057550150213,26.84352776197057
1-6-14,0.8,100,9,14.51,27.41980114089676,33.33526547790011,27.02858317223873,29.31315334077942,35.28057550150213,26.876880684538055
1-6-14,0.8,100,10,14.22,27.492206430191125,40.59178875121477,27.02858317223873,29.31315334077942,35.28057550150213,26.334909297052157
1-6-14,0.8,100,11,14.4,27.19944081607265,33.631529928883914,27.02858317223873,29.31315334077942,35.28057550150213,25.208549687960023
1-6-14,0.8,100,12,14.08,30.561268633540372,50.24018808229813,27.02858317223873,29.31315334077942,35.28057550150213,28.254306288819873
1-6-14,0.8,100,13,14.38,29.06302366292406,40.876985190550926,27.02858317223873,29.31315334077942,35.28057550150213,28.59337558855487
1-6-14,0.8,100,14,14.42,28.68050339412775,34.450814795125545,27.02858317223873,29.31315334077942,35.28057550150213,25.996218205610536
1-6-14,0.8,100,15,14.41,27.420734429013287,36.17442375725231,27.02858317223873,29.31315334077942,35.28057550150213,26.90599167121516
1-6-14,0.8,100,16,14.36,28.64274202727897,38.08499892061623,27.02858317223873,29.31315334077942,35.28057550150213,27.06436149543715
1-6-14,0.8,100,17,14.44,26.55477899325879,34.27823638638841,27.02858317223873,29.31315334077942,35.28057550150213,26.21269365841844
1-6-14,0.8,100,18,14.49,27.227612723103004,34.03206142187656,27.02858317223873,29.31315334077942,35.28057550150213,26.801796988732676
1-6-14,0.8,100,19,14.23,29.81568545854272,43.36632282506282,27.02858317223873,29.31315334077942,35.28057550150213,28.00094692211056
1-6-14,0.8,100,20,14.42,27.532119585971255,35.37452718319767,27.02858317223873,29.31315334077942,35.28057550150213,26.67489900512511
1-6-14,0.8,100,21,14.36,26.326584453798688,35.636847439617476,27.02858317223873,29.31315334077942,35.28057550150213,26.122855041072377
1-6-14,0.8,100,22,14.52,27.41473341631129,33.16219694341855,27.02858317223873,29.31315334077942,35.28057550150213,26.497163786243345
1-6-14,0.8,100,23,14.46,26.6772640121009,34.24844752871919,27.02858317223873,29.31315334077942,35.28057550150213,26.48691835983811
1-6-14,0.8,100,24,14.21,27.80952658441506,40.289645943013305,27.02858317223873,29.31315334077942,35.28057550150213,26.26965277498694
1-6-14,0.8,100,25,14.53,29.0043633436727,35.187146531077,27.02858317223873,29.31315334077942,35.28057550150213,27.9009641132357
1-6-14,0.8,100,26,14.49,30.586102867078974,35.09795510679919,27.02858317223873,29.31315334077942,35.28057550150213,27.67005690687427
1-6-14,0.8,100,27,14.37,27.4323252879003,37.86222314245149,27.02858317223873,29.31315334077942,35.28057550150213,26.884361492348955
1-6-14,0.8,100,28,14.47,28.15223196763988,34.836449197004285,27.02858317223873,29.31315334077942,35.28057550150213,27.162074372221554
1-6-14,0.8,100,29,14.3,28.8871233144803,41.499429124997555,27.02858317223873,29.31315334077942,35.28057550150213,27.85036146936219
1-6-14,0.8,100,30,14.39,25.51765680347863,32.99258797327394,27.02858317223873,29.31315334077942,35.28057550150213,25.091505992151873
1-6-14,0.8,100,31,14.21,29.010779484627985,41.84524182681344,27.02858317223873,29.31315334077942,35.28057550150213,26.35105458465493
1-6-14,0.8,100,32,14.4,28.96563576539613,37.33292224138273,27.02858317223873,29.31315334077942,35.28057550150213,27.596499375631804
1-6-14,0.8,100,33,14.32,27.71639927732611,35.81056890494831,27.02858317223873,29.31315334077942,35.28057550150213,25.650934858978214
1-6-14,0.8,100,34,14.43,27.182366624373156,35.81662034519566,27.02858317223873,29.31315334077942,35.28057550150213,27.056148470384468
1-6-14,0.8,100,35,14.31,28.45317441906185,39.38460346793536,27.02858317223873,29.31315334077942,35.28057550150213,27.259477450556364
1-6-14,0.8,100,36,14.25,32.345718750622105,39.270024884040375,27.02858317223873,29.31315334077942,35.28057550150213,26.49368761571079
1-6-14,0.8,100,37,14.28,27.586045033005306,38.57390373790143,27.02858317223873,29.31315334077942,35.28057550150213,25.95089438302353
1-6-14,0.8,100,38,14.31,31.113116062586652,40.72636304218657,27.02858317223873,29.31315334077942,35.28057550150213,28.31194256288374
1-6-14,0.8,100,39,14.22,27.682102211809553,40.235149902712145,27.02858317223873,29.31315334077942,35.28057550150213,26.392103204542742
1-6-14,0.8,100,40,14.23,27.43139746025398,41.16515408459154,27.02858317223873,29.31315334077942,35.28057550150213,26.90080931906809
1-6-14,0.8,100,41,14.32,27.971675982067033,40.48827444551972,27.02858317223873,29.31315334077942,35.28057550150213,27.71610510931606
1-6-14,0.8,100,42,14.24,26.531619737418858,37.19937276920829,27.02858317223873,29.31315334077942,35.28057550150213,25.598786240581106
1-6-14,0.8,100,43,14.56,28.52811073779884,32.76807131343342,27.02858317223873,29.31315334077942,35.28057550150213,27.113149482433823
1-6-14,0.8,100,44,14.33,28.27342708896769,37.26092673838572,27.02858317223873,29.31315334077942,35.28057550150213,26.104593024420534
1-6-14,0.8,100,45,14.34,31.037062388017635,39.50182352585912,27.02858317223873,29.31315334077942,35.28057550150213,27.33181527187808
1-6-14,0.8,100,46,14.32,30.497233179904025,41.08538928606404,27.02858317223873,29.31315334077942,35.28057550150213,28.427410635589073
1-6-14,0.8,100,47,14.25,35.93680606336094,42.99029783197297,27.02858317223873,29.31315334077942,35.28057550150213,27.736680566809618
1-6-14,0.8,100,48,14.48,26.18997972579642,32.98129313286629,27.02858317223873,29.31315334077942,35.28057550150213,26.12431499287392
1-6-14,0.8,100,49,14.57,26.729135266291493,32.01919704754914,27.02858317223873,29.31315334077942,35.28057550150213,26.136212992414972
1-6-14,0.8,100,50,14.4,30.25702354369883,38.2181617503036,27.02858317223873,29.31315334077942,35.28057550150213,27.657110902182005
1-6-14,0.8,100,51,14.04,32.553154884859616,53.38247781348023,27.02858317223873,29.31315334077942,35.28057550150213,28.952454288118737
1-6-14,0.8,100,52,14.5,27.12622149037577,33.87242948022992,27.02858317223873,29.31315334077942,35.28057550150213,27.019614416920657
1-6-14,0.8,100,53,14.26,26.117115478515625,38.17332804361979,27.02858317223873,29.31315334077942,35.28057550150213,26.08133015950521
1-6-14,0.8,100,54,14.55,29.28494225158048,35.54241287080564,27.02858317223873,29.31315334077942,35.28057550150213,28.29083319824931
1-6-14,0.8,100,55,14.44,27.96787548731964,35.07250673204453,27.02858317223873,29.31315334077942,35.28057550150213,26.44188236003377
1-6-14,0.8,100,56,14.39,29.268402289983353,36.24567968654838,27.02858317223873,29.31315334077942,35.28057550150213,26.461715457387637
1-6-14,0.8,100,57,14.41,29.38588874514877,37.87267270375162,27.02858317223873,29.31315334077942,35.28057550150213,27.46475490098517
1-6-14,0.8,100,58,14.67,26.960382730089016,31.172805380181167,27.02858317223873,29.31315334077942,35.28057550150213,26.788510450570566
1-6-14,0.8,100,59,14.56,28.46198651609004,33.71495543133404,27.02858317223873,29.31315334077942,35.28057550150213,27.948676537241276
1-6-14,0.8,100,60,14.51,26.360118186406464,32.04953440444145,27.02858317223873,29.31315334077942,35.28057550150213,25.610670213660836
1-6-14,0.8,100,61,14.42,27.41492283483629,35.987703201597775,27.02858317223873,29.31315334077942,35.28057550150213,26.797822025862946
1-6-14,0.8,100,62,14.44,28.52769880613046,35.109664972941715,27.02858317223873,29.31315334077942,35.28057550150213,26.385386251910603
1-6-14,0.8,100,63,14.45,26.36347030537688,33.20178729782052,27.02858317223873,29.31315334077942,35.28057550150213,25.71400383022128
