gen,best,pop_mean,sigma,seed,val,tier,arch
69,0.8108753307282198,0.8109041134295749,32.25296121693635,0,,tail_only,linear
70,0.8134270556561995,0.8134328128195755,32.21282858883499,0,0.8134079543346202,tail_only,linear
71,0.8143690484875439,0.8143912719809683,30.019915897544784,0,,tail_only,linear
72,0.8094302563387863,0.8094360477684798,29.6346609393317,0,,tail_only,linear
73,0.8138376539285768,0.8138392506827722,31.56482001125112,0,,tail_only,linear
74,0.821126728636655,0.8211348904428709,51.457798508610715,0,,tail_only,linear
75,0.8212471801996932,0.821290825724852,74.40237807560159,0,,tail_only,linear
76,0.816262703287248,0.8162724872274493,91.60966191450562,0,,tail_only,linear
77,0.8148695053245447,0.946052220492423,82.43531806636314,0,,tail_only,linear
78,0.8180962612615015,0.8181080124314869,89.65128778869679,0,,tail_only,linear
79,0.8141002565868074,0.8141145354381143,72.97874484077647,0,,tail_only,linear
80,0.8178301817857145,0.8178528929041032,69.25011339156376,0,0.8133999448070455,tail_only,linear
81,0.8258112845833823,0.8258210279466951,76.12901419453428,0,,tail_only,linear
82,0.8105202489765411,0.8105459587314371,66.87881371374132,0,,tail_only,linear
83,0.8090028527582193,0.8090226795874713,78.49929306301334,0,,tail_only,linear
84,0.816064085160676,0.8160711104625789,80.50833473875521,0,,tail_only,linear
85,0.8078202646422292,0.8078362938215324,72.79866793290057,0,,tail_only,linear
86,0.8116428566848559,0.8116595000052872,68.91729206343024,0,,tail_only,linear
87,0.8160080511069945,0.8160273482175863,64.24606043592348,0,,tail_only,linear
88,0.812488231743641,0.8124991880968171,70.01237125478086,0,,tail_only,linear
89,0.8174471772267295,0.8174642875508122,71.2817863167122,0,,tail_only,linear
90,0.8130406320356885,0.8130606722909239,62.71758940200232,0,0.813388483873485,tail_only,linear
91,0.8151414525715692,0.815173019977536,57.22930770949155,0,,tail_only,linear
92,0.8302380906746982,0.8302497560724522,59.21010423050089,0,,tail_only,linear
93,0.8086323472409591,0.808655507973547,52.24098696872733,0,,tail_only,linear
94,0.8118833233849645,0.8118978349882736,44.24414994988398,0,,tail_only,linear
95,0.8156685379776798,0.8156784050083395,48.07272833855758,0,,tail_only,linear
96,0.8126967239052637,0.8127024035016398,64.5286852340704,0,,tail_only,linear
97,0.8150806667018882,0.8150821232116747,67.00700172103826,0,,tail_only,linear
98,0.8168951347465878,0.8168988364310579,54.45970025762028,0,,tail_only,linear
99,0.8199798786189169,0.8199852372657119,46.78103851121556,0,,tail_only,linear
100,0.8169921039684839,0.8169972641632507,41.74650129610764,0,0.8133884895443143,tail_only,linear
101,0.8131458475774416,0.8131472974393039,45.800765737246714,0,,tail_only,linear
102,0.8186249603475901,0.8186275702050869,47.504594521732905,0,,tail_only,linear
103,0.8280655833409576,0.8280665026389404,49.187837520900466,0,,tail_only,linear
104,0.8069952249226631,0.8069955643005435,52.84173784142125,0,,tail_only,linear
105,0.8259839441254276,0.8259857644506337,51.70064998895979,0,,tail_only,linear
106,0.8173120419243998,0.8173130311234963,58.14123054329893,0,,tail_only,linear
107,0.8135930737527508,0.8135933126531116,49.82307994849809,0,,tail_only,linear
108,0.8136190243231511,0.8136193619053078,49.35552051764118,0,,tail_only,linear
109,0.8091489238414558,0.809150450080844,56.85393779138653,0,,tail_only,linear
110,0.8162503565335211,0.8162513785714938,59.08970415804349,0,0.8133884895443143,tail_only,linear
111,0.8134439889352769,0.8134439944987961,50.086587778693165,0,,tail_only,linear
112,0.8077696035621499,0.8077696076845179,57.26015236607801,0,,tail_only,linear
113,0.8220750703239803,0.8220762452726506,55.32247103720514,0,,tail_only,linear
114,0.808881968685196,0.8088860740150163,60.97182886334792,0,,tail_only,linear
115,0.8144370130948689,0.8144379279954219,48.950525103472174,0,,tail_only,linear
116,0.8175897312020579,0.8175905745937369,44.653524727083095,0,,tail_only,linear
117,0.804065552207611,0.8040658621556349,41.77252878880764,0,,tail_only,linear
118,0.8123741731351585,0.812374350261378,42.34242111206155,0,,tail_only,linear
119,0.8166388662338789,0.8166388687746897,40.247076885091424,0,,tail_only,linear
120,0.8194154173554793,0.8194160888207944,31.674407850041973,0,0.8133885684390975,tail_only,linear
1,0.8233983016413731,1.3866538611888235,1.423935446953703,1,0.8161982437233096,tail_only,linear
2,0.8336025198796237,1.0453528425538716,1.9350250938723832,1,,tail_only,linear
3,0.8197712410892395,1.0603375796176369,2.660013721648975,1,,tail_only,linear
4,0.820953442340738,0.901252725382124,3.240649459923337,1,,tail_only,linear
5,0.8287836488126926,0.9779952164748058,4.6357058357511285,1,,tail_only,linear
6,0.8174217849991003,0.93172894597234,4.440174495197376,1,,tail_only,linear
7,0.8132128118481379,0.8495156215061376,4.361599502363567,1,,tail_only,linear
8,0.8180289259276243,0.8351010225154316,5.906153370350602,1,,tail_only,linear
9,0.8242964392922737,0.8340442974208007,6.465612143290254,1,,tail_only,linear
10,0.8096423869244667,0.8171846056629063,7.1177801673604595,1,0.8134119772126606,tail_only,linear
11,0.8226415302072141,0.826237549086193,9.777443355070394,1,,tail_only,linear
12,0.8245168011301779,0.8271960335404691,11.705656900185508,1,,tail_only,linear
13,0.8162526464888322,0.8173889860070909,11.03363391918511,1,,tail_only,linear
14,0.8111070470532429,0.8120555249776574,12.588027145803078,1,,tail_only,linear
15,0.820169090607631,0.8849937316038541,14.126025637968166,1,,tail_only,linear
16,0.814779147739989,0.815250217312889,13.424045696515387,1,,tail_only,linear
17,0.8207646906400882,0.8213835453215522,11.615576186761732,1,,tail_only,linear
18,0.8188174696829957,0.8195047169948875,9.425248376976352,1,,tail_only,linear
19,0.8199464687715248,0.8202532308333599,8.308391665513039,1,,tail_only,linear
20,0.826554509419094,0.8271876343760332,8.330612002587246,1,0.813412237680432,tail_only,linear
21,0.8101092970735342,0.810339194203428,6.7396344996125785,1,,tail_only,linear
22,0.8098963455336865,0.8099763562224859,6.0923814781314745,1,,tail_only,linear
23,0.8136618401429978,0.8137175889828526,5.32516738887148,1,,tail_only,linear
24,0.811869759570208,0.8119165454369289,4.216582673349346,1,,tail_only,linear
25,0.8145596129145348,0.8145676973300771,4.0369082018615705,1,,tail_only,linear
26,0.8143971344229383,0.8144173173777383,4.061693908002309,1,,tail_only,linear
27,0.8073175978359262,0.8073287607041963,3.885654928721439,1,,tail_only,linear
28,0.8175668412839143,0.8175739456844959,3.9408077889657194,1,,tail_only,linear
29,0.819569420873305,0.8195794965213903,3.855695793517921,1,,tail_only,linear
30,0.8147381480802756,0.8147463913628604,4.020540448248422,1,0.8133953600681226,tail_only,linear
31,0.8158962203179134,0.8159112755883271,4.117082558560402,1,,tail_only,linear
32,0.8177452499561539,0.8177687502086662,3.7659800361188274,1,,tail_only,linear
33,0.8191232494140822,0.8191280615073899,3.621406037029095,1,,tail_only,linear
34,0.8137905466499524,0.8137988907009321,3.3262244247662536,1,,tail_only,linear
35,0.819662022184383,0.8196843695376783,3.085015881995822,1,,tail_only,linear
36,0.818459948028347,0.8184692501000704,2.6810974160305068,1,,tail_only,linear
37,0.8139966434832557,0.8139993006071586,2.8231899853494133,1,,tail_only,linear
